"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","170","","OrderTest","","OrderTest","","createOrder[Цвет. Тестовые данные: [Ljava.lang.String;@58d6e55a {1} {2} {3}]",""
"passed","","","183","","CreatingCourierTest","","CreatingCourierTest","","createCourierWithoutLogin",""
"passed","","","273","","CreatingCourierTest","","CreatingCourierTest","","creatingDuplicateCourier",""
"passed","","","151","","CourierLoginTest","","CourierLoginTest","","courierAuthorisationWithoutCorrectLogin",""
"passed","","","6244","","CourierLoginTest","","CourierLoginTest","","courierAuthorisationWithoutLogin",""
"passed","","","117","","CreatingCourierTest","","CreatingCourierTest","","createCourierWithCorrectSettingsWithoutFirstName",""
"passed","","","158","","OrderTest","","OrderTest","","createOrder[Цвет. Тестовые данные: [Ljava.lang.String;@2b2954e1 {1} {2} {3}]",""
"passed","","","150","","CreatingCourierTest","","CreatingCourierTest","","createCourierWithoutLoginAndPassword",""
"passed","","","156","","OrderTest","","OrderTest","","createOrder[Цвет. Тестовые данные: [Ljava.lang.String;@58c1da09 {1} {2} {3}]",""
"passed","","","135","","CreatingCourierTest","","CreatingCourierTest","","createCourierWithoutPassword",""
"failed","","","173","","CreatingCourierTest","","CreatingCourierTest","","createCourierWithCorrectSettings",""
"passed","","","436","","CourierLoginTest","","CourierLoginTest","","courierAuthorisationWithCorrectSettings",""
"passed","","","145","","OrderTest","","OrderTest","","createOrder[Цвет. Тестовые данные: [Ljava.lang.String;@463561c5 {1} {2} {3}]",""
